Assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	Species	Genera	strain
GCF_000147555.1	PRJNA224116	SAMN00189110	AEBN00000000.1	na	749503	1351	Enterococcus faecalis TX0309A	strain=TX0309A	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14755v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/555/GCF_000147555.1_ASM14755v1	NA	NA	faecalis	Enterococcus	TX0309A
GCF_000147575.1	PRJNA224116	SAMN00189111	AEBO00000000.1	na	749504	1351	Enterococcus faecalis TX0309B	strain=TX0309B	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14757v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/575/GCF_000147575.1_ASM14757v1	NA	NA	faecalis	Enterococcus	TX0309B
GCF_000147595.1	PRJNA224116	SAMN00189128	AEBQ00000000.1	na	749491	1351	Enterococcus faecalis TX2137	strain=TX2137	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14759v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/595/GCF_000147595.1_ASM14759v1	NA	NA	faecalis	Enterococcus	TX2137
GCF_000147905.1	PRJNA224116	SAMN00189104	AEBP00000000.1	na	749497	1351	Enterococcus faecalis TX0017	strain=TX0017	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14790v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/905/GCF_000147905.1_ASM14790v1	NA	NA	faecalis	Enterococcus	TX0017
GCF_000147925.1	PRJNA224116	SAMN00189132	AEBR00000000.1	na	749495	1351	Enterococcus faecalis TX4248	strain=TX4248	NA	latest	Scaffold	Major	Full	23/9/2010	ASM14792v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/925/GCF_000147925.1_ASM14792v1	NA	NA	faecalis	Enterococcus	TX4248
GCF_000147985.1	PRJNA224116	SAMN00189100	AEBS00000000.1	na	749490	1351	Enterococcus faecalis DAPTO 516	strain=DAPTO 516	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14798v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/985/GCF_000147985.1_ASM14798v1	NA	NA	faecalis	Enterococcus	DAPTO_516
GCF_000148005.1	PRJNA224116	SAMN00189099	AEBT00000000.1	na	749489	1351	Enterococcus faecalis DAPTO 512	strain=DAPTO 512	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14800v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/005/GCF_000148005.1_ASM14800v1	NA	NA	faecalis	Enterococcus	DAPTO_512
GCF_000148045.1	PRJNA224116	SAMN00189119	AEBV00000000.1	na	749511	1351	Enterococcus faecalis TX0855	strain=TX0855	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14804v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/045/GCF_000148045.1_ASM14804v1	NA	NA	faecalis	Enterococcus	TX0855
GCF_000148065.1	PRJNA224116	SAMN00189127	AEBW00000000.1	na	749518	1351	Enterococcus faecalis TX2134	strain=TX2134	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14806v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/065/GCF_000148065.1_ASM14806v1	NA	NA	faecalis	Enterococcus	TX2134
GCF_000148085.1	PRJNA224116	SAMN00189122	AEBX00000000.1	na	749512	1351	Enterococcus faecalis TX0860	strain=TX0860	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14808v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/085/GCF_000148085.1_ASM14808v1	NA	NA	faecalis	Enterococcus	TX0860
GCF_000148105.1	PRJNA224116	SAMN00189109	AEBY00000000.1	na	749502	1351	Enterococcus faecalis TX0109	strain=TX0109	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14810v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/105/GCF_000148105.1_ASM14810v1	NA	NA	faecalis	Enterococcus	TX0109
GCF_000148125.1	PRJNA224116	SAMN00189116	AEBZ00000000.1	na	749509	1351	Enterococcus faecalis EnGen0311	strain=TX0635	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14812v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/125/GCF_000148125.1_ASM14812v1	NA	NA	faecalis	Enterococcus	TX0635
GCF_000148165.1	PRJNA224116	SAMN00189129	AECG00000000.1	na	749492	1351	Enterococcus faecalis TX2141	strain=TX2141	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14816v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/165/GCF_000148165.1_ASM14816v1	NA	NA	faecalis	Enterococcus	TX2141
GCF_000148185.1	PRJNA224116	SAMN00189113	AECA00000000.1	na	749506	1351	Enterococcus faecalis TX0411	strain=TX0411	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14818v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/185/GCF_000148185.1_ASM14818v1	NA	NA	faecalis	Enterococcus	TX0411
GCF_000148205.1	PRJNA224116	SAMN00189118	AECE00000000.1	na	749510	1351	Enterococcus faecalis TX0645	strain=TX0645	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14820v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/205/GCF_000148205.1_ASM14820v1	NA	NA	faecalis	Enterococcus	TX0645
GCF_000148225.1	PRJNA224116	SAMN00189124	AECF00000000.1	na	749514	1351	Enterococcus faecalis TX1341	strain=TX1341	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14822v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/225/GCF_000148225.1_ASM14822v1	NA	NA	faecalis	Enterococcus	TX1341
GCF_000148245.1	PRJNA224116	SAMN00189103	AECD00000000.1	na	749496	1351	Enterococcus faecalis TX0012	strain=TX0012	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14824v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/245/GCF_000148245.1_ASM14824v1	NA	NA	faecalis	Enterococcus	TX0012
GCF_000148265.1	PRJNA224116	SAMN00189114	AECC00000000.1	na	749507	1351	Enterococcus faecalis TX0470	strain=TX0470	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14826v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/265/GCF_000148265.1_ASM14826v1	NA	NA	faecalis	Enterococcus	TX0470
GCF_000148305.1	PRJNA224116	SAMN00189112	AECB00000000.1	na	749505	1351	Enterococcus faecalis TX0312	strain=TX0312	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14830v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/305/GCF_000148305.1_ASM14830v1	NA	NA	faecalis	Enterococcus	TX0312
GCF_000148445.1	PRJNA224116	SAMN00189130	AEBB00000000.1	na	749493	1351	Enterococcus faecalis TX4000	strain=TX4000	NA	latest	Scaffold	Major	Full	4/10/2010	ASM14844v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/445/GCF_000148445.1_ASM14844v1	NA	NA	faecalis	Enterococcus	TX4000
GCF_000157135.1	PRJNA224116	SAMN02595249	ACAD00000000.1	na	565636	1351	Enterococcus faecalis T1	strain=T1	NA	latest	Scaffold	Major	Full	11/6/2009	ASM15713v1	Broad Institute	GCA_000157135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/135/GCF_000157135.1_ASM15713v1	NA	NA	faecalis	Enterococcus	T1
GCF_000157155.1	PRJNA224116	SAMN02595250	ACAE00000000.1	na	565637	1351	Enterococcus faecalis T2	strain=T2	NA	latest	Scaffold	Major	Full	24/6/2009	ASM15715v1	Broad Institute	GCA_000157155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/155/GCF_000157155.1_ASM15715v1	NA	NA	faecalis	Enterococcus	T2
GCF_000157175.1	PRJNA224116	SAMN02595251	ACAF00000000.1	na	565638	1351	Enterococcus faecalis T3	strain=T3	NA	latest	Scaffold	Major	Full	11/6/2009	ASM15717v1	Broad Institute	GCA_000157175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/175/GCF_000157175.1_ASM15717v1	NA	NA	faecalis	Enterococcus	T3
GCF_000157195.1	PRJNA224116	SAMN02595252	ACAG00000000.1	na	565642	1351	Enterococcus faecalis ATCC 4200	strain=ATCC 4200	NA	latest	Scaffold	Major	Full	11/6/2009	ASM15719v1	Broad Institute	GCA_000157195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/195/GCF_000157195.1_ASM15719v1	NA	NA	faecalis	Enterococcus	ATCC_4200
GCF_000157235.1	PRJNA224116	SAMN02595254	ACAI00000000.1	na	565643	1351	Enterococcus faecalis DS5	strain=DS5	NA	latest	Scaffold	Major	Full	24/6/2009	ASM15723v1	Broad Institute	GCA_000157235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/235/GCF_000157235.1_ASM15723v1	NA	NA	faecalis	Enterococcus	DS5
GCF_000157275.1	PRJNA224116	SAMN02595256	ACAK00000000.1	na	565651	1351	Enterococcus faecalis ARO1/DG	strain=AR01/DG	NA	latest	Scaffold	Major	Full	24/6/2009	ASM15727v1	Broad Institute	GCA_000157275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/275/GCF_000157275.1_ASM15727v1	NA	NA	faecalis	Enterococcus	AR01_DG
GCF_000157315.1	PRJNA224116	SAMN02595258	ACAM00000000.1	na	565645	1351	Enterococcus faecalis Merz96	strain=Merz96	NA	latest	Scaffold	Major	Full	24/6/2009	ASM15731v1	Broad Institute	GCA_000157315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/315/GCF_000157315.1_ASM15731v1	NA	NA	faecalis	Enterococcus	Merz96
GCF_000157335.1	PRJNA224116	SAMN02595259	ACAN00000000.1	na	565646	1351	Enterococcus faecalis HIP11704	strain=HIP11704	NA	latest	Scaffold	Major	Full	22/6/2009	ASM15733v1	Broad Institute	GCA_000157335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/335/GCF_000157335.1_ASM15733v1	NA	NA	faecalis	Enterococcus	HIP11704
GCF_000157375.1	PRJNA224116	SAMN02595260	ACAP00000000.1	na	565648	1351	Enterococcus faecalis JH1	strain=JH1	NA	latest	Scaffold	Major	Full	22/6/2009	ASM15737v1	Broad Institute	GCA_000157375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/375/GCF_000157375.1_ASM15737v1	NA	NA	faecalis	Enterococcus	JH1
GCF_000157395.1	PRJNA224116	SAMN02595261	ACAQ00000000.1	na	565647	1351	Enterococcus faecalis E1Sol	strain=E1Sol	NA	latest	Scaffold	Major	Full	22/6/2009	ASM15739v1	Broad Institute	GCA_000157395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/395/GCF_000157395.1_ASM15739v1	NA	NA	faecalis	Enterococcus	E1Sol
GCF_000157415.1	PRJNA224116	SAMN02595262	ACAR00000000.1	na	565649	1351	Enterococcus faecalis Fly1	strain=Fly1	NA	latest	Scaffold	Major	Full	22/6/2009	ASM15741v1	Broad Institute	GCA_000157415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/415/GCF_000157415.1_ASM15741v1	NA	NA	faecalis	Enterococcus	Fly1
GCF_000157455.1	PRJNA224116	SAMN02595264	ACAT00000000.1	na	565650	1351	Enterococcus faecalis D6	strain=D6	NA	latest	Scaffold	Major	Full	16/6/2009	ASM15745v1	Broad Institute	GCA_000157455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/455/GCF_000157455.1_ASM15745v1	NA	NA	faecalis	Enterococcus	D6
GCF_000157475.1	PRJNA224116	SAMN02595265	ACAU00000000.1	na	565640	1351	Enterococcus faecalis T11	strain=T11	NA	latest	Scaffold	Major	Full	16/6/2009	ASM15747v1	Broad Institute	GCA_000157475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/475/GCF_000157475.1_ASM15747v1	NA	NA	faecalis	Enterococcus	T11
GCF_000157495.1	PRJNA224116	SAMN02595266	ACAV00000000.1	na	565644	1351	Enterococcus faecalis CH188	strain=CH188	NA	latest	Scaffold	Major	Full	16/6/2009	ASM15749v1	Broad Institute	GCA_000157495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/495/GCF_000157495.1_ASM15749v1	NA	NA	faecalis	Enterococcus	CH188
GCF_000157515.1	PRJNA224116	SAMN02595267	ACAW00000000.1	na	565641	1351	Enterococcus faecalis X98	strain=X98	NA	latest	Scaffold	Major	Full	16/6/2009	ASM15751v1	Broad Institute	GCA_000157515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/515/GCF_000157515.1_ASM15751v1	NA	NA	faecalis	Enterococcus	X98
GCF_000159255.1	PRJNA224116	SAMN00002243	ACGL00000000.1	na	491074	1351	Enterococcus faecalis TX0104	strain=TX0104	NA	latest	Scaffold	Major	Full	15/5/2009	ASM15925v1	Baylor College of Medicine	GCA_000159255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/255/GCF_000159255.1_ASM15925v1	NA	NA	faecalis	Enterococcus	TX0104
GCF_000159275.1	PRJNA224116	SAMN00001498	ACGM00000000.1	na	525278	1351	Enterococcus faecalis TX1322	strain=TX1322	NA	latest	Scaffold	Major	Full	15/5/2009	ASM15927v1	Baylor College of Medicine	GCA_000159275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/275/GCF_000159275.1_ASM15927v1	NA	NA	faecalis	Enterococcus	TX1322
GCF_000161875.1	PRJNA224116	SAMN02595328	ACOC00000000.1	na	565639	1351	Enterococcus faecalis T8	strain=T8	NA	latest	Scaffold	Major	Full	27/8/2009	ASM16187v1	Broad Institute	GCA_000161875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/161/875/GCF_000161875.1_ASM16187v1	NA	NA	faecalis	Enterococcus	T8
GCF_000163795.1	PRJNA224116	SAMN00189102	ADDP00000000.1	na	699185	1351	Enterococcus faecalis S613	strain=S613	NA	latest	Scaffold	Major	Full	29/1/2010	ASM16379v1	Wash U	GCA_000163795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/795/GCF_000163795.1_ASM16379v1	NA	NA	faecalis	Enterococcus	S613
GCF_000172575.2	PRJNA224116	SAMN02603002	NA	na	474186	1351	Enterococcus faecalis OG1RF	strain=OG1RF	NA	latest	Complete Genome	Major	Full	6/4/2011	ASM17257v2	Baylor College of Medicine	GCA_000172575.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/575/GCF_000172575.2_ASM17257v2	NA	NA	faecalis	Enterococcus	OG1RF
GCF_000175015.1	PRJNA224116	SAMN00000720	ACOX00000000.2	na	553209	1351	Enterococcus faecalis TUSoD Ef11	strain=TUSoD Ef11	NA	latest	Contig	Major	Full	19/7/2010	ASM17501v1	J. Craig Venter Institute	GCA_000175015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/015/GCF_000175015.1_ASM17501v1	NA	NA	faecalis	Enterococcus	TUSoD_Ef11
GCF_000178175.1	PRJNA224116	SAMN00014269	ADKN00000000.1	na	791166	1351	Enterococcus faecalis PC1.1	strain=PC1.1	NA	latest	Contig	Major	Full	8/4/2010	ASM17817v1	J. Craig Venter Institute	GCA_000178175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/175/GCF_000178175.1_ASM17817v1	NA	NA	faecalis	Enterococcus	PC1.1
GCF_000281195.1	PRJNA224116	SAMN02603765	NA	na	1206105	1351	Enterococcus faecalis D32	strain=D32	NA	latest	Complete Genome	Major	Full	24/7/2012	ASM28119v1	Robert Koch Institute	GCA_000281195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/195/GCF_000281195.1_ASM28119v1	NA	NA	faecalis	Enterococcus	D32
GCF_000293985.2	PRJNA224116	SAMN02299460	ALZI00000000.1	na	1134784	1351	Enterococcus faecalis 599	strain=599	NA	latest	Scaffold	Minor	Full	29/8/2012	ASM29398v2	Washington University	GCA_000293985.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/293/985/GCF_000293985.2_ASM29398v2	NA	NA	faecalis	Enterococcus	599
GCF_000294005.2	PRJNA224116	SAMN02299461	ALZJ00000000.1	na	1134785	1351	Enterococcus faecalis ERV103	strain=ERV103	NA	latest	Scaffold	Minor	Full	29/8/2012	ASM29400v2	Washington University	GCA_000294005.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/005/GCF_000294005.2_ASM29400v2	NA	NA	faecalis	Enterococcus	ERV103
GCF_000294025.2	PRJNA224116	SAMN02299462	ALZK00000000.1	na	1134786	1351	Enterococcus faecalis ERV116	strain=ERV116	NA	latest	Scaffold	Minor	Full	29/8/2012	ASM29402v2	Washington University	GCA_000294025.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/025/GCF_000294025.2_ASM29402v2	NA	NA	faecalis	Enterococcus	ERV116
GCF_000294045.1	PRJNA224116	SAMN02299463	ALZL00000000.1	na	1134787	1351	Enterococcus faecalis ERV129	strain=ERV129	NA	latest	Scaffold	Major	Full	29/8/2012	ASM29404v1	Washington University	GCA_000294045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/045/GCF_000294045.1_ASM29404v1	NA	NA	faecalis	Enterococcus	ERV129
GCF_000294065.2	PRJNA224116	SAMN02299464	ALZM00000000.1	na	1134788	1351	Enterococcus faecalis ERV25	strain=ERV25	NA	latest	Scaffold	Minor	Full	29/8/2012	ASM29406v2	Washington University	GCA_000294065.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/065/GCF_000294065.2_ASM29406v2	NA	NA	faecalis	Enterococcus	ERV25
GCF_000294085.2	PRJNA224116	SAMN02299465	ALZN00000000.1	na	1134789	1351	Enterococcus faecalis ERV31	strain=ERV31	NA	latest	Scaffold	Minor	Full	29/8/2012	ASM29408v2	Washington University	GCA_000294085.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/085/GCF_000294085.2_ASM29408v2	NA	NA	faecalis	Enterococcus	ERV31
GCF_000294105.2	PRJNA224116	SAMN02299466	ALZO00000000.1	na	1134790	1351	Enterococcus faecalis ERV37	strain=ERV37	NA	latest	Scaffold	Minor	Full	29/8/2012	ASM29410v2	Washington University	GCA_000294105.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/105/GCF_000294105.2_ASM29410v2	NA	NA	faecalis	Enterococcus	ERV37
GCF_000294125.1	PRJNA224116	SAMN02299467	ALZP00000000.1	na	1134791	1351	Enterococcus faecalis ERV41	strain=ERV41	NA	latest	Scaffold	Major	Full	29/8/2012	ASM29412v1	Washington University	GCA_000294125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/125/GCF_000294125.1_ASM29412v1	NA	NA	faecalis	Enterococcus	ERV41
GCF_000294145.2	PRJNA224116	SAMN02299468	ALZQ00000000.1	na	1134792	1351	Enterococcus faecalis ERV62	strain=ERV62	NA	latest	Scaffold	Minor	Full	29/8/2012	ASM29414v2	Washington University	GCA_000294145.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/145/GCF_000294145.2_ASM29414v2	NA	NA	faecalis	Enterococcus	ERV62
GCF_000294165.2	PRJNA224116	SAMN02299469	ALZR00000000.1	na	1134793	1351	Enterococcus faecalis ERV63	strain=ERV63	NA	latest	Scaffold	Minor	Full	29/8/2012	ASM29416v2	Washington University	GCA_000294165.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/165/GCF_000294165.2_ASM29416v2	NA	NA	faecalis	Enterococcus	ERV63
GCF_000294185.2	PRJNA224116	SAMN02299470	ALZS00000000.1	na	1134794	1351	Enterococcus faecalis ERV65	strain=ERV65	NA	latest	Scaffold	Minor	Full	29/8/2012	ASM29418v2	Washington University	GCA_000294185.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/185/GCF_000294185.2_ASM29418v2	NA	NA	faecalis	Enterococcus	ERV65
